image_path,label,class_name
viola_dataset\images\image_73.jpg,0,aluminium
viola_dataset\images\image_74.jpg,0,aluminium
viola_dataset\images\image_75.jpg,0,aluminium
viola_dataset\images\image_76.jpg,0,aluminium
viola_dataset\images\image_77.jpg,0,aluminium
viola_dataset\images\image_78.jpg,0,aluminium
viola_dataset\images\image_79.jpg,0,aluminium
viola_dataset\images\image_80.jpg,0,aluminium
viola_dataset\images\image_81.jpg,0,aluminium
viola_dataset\images\image_82.jpg,0,aluminium
viola_dataset\images\image_83.jpg,0,aluminium
viola_dataset\images\image_84.jpg,0,aluminium
viola_dataset\images\image_85.jpg,0,aluminium
viola_dataset\images\image_86.jpg,0,aluminium
viola_dataset\images\image_87.jpg,0,aluminium
viola_dataset\images\image_88.jpg,0,aluminium
viola_dataset\images\image_89.jpg,0,aluminium
viola_dataset\images\image_90.jpg,0,aluminium
viola_dataset\images\image_91.jpg,0,aluminium
viola_dataset\images\image_92.jpg,0,aluminium
viola_dataset\images\image_93.jpg,0,aluminium
viola_dataset\images\image_94.jpg,0,aluminium
viola_dataset\images\image_95.jpg,0,aluminium
viola_dataset\images\image_96.jpg,0,aluminium
viola_dataset\images\image_97.jpg,0,aluminium
viola_dataset\images\image_98.jpg,0,aluminium
viola_dataset\images\image_99.jpg,0,aluminium
viola_dataset\images\image_100.jpg,0,aluminium
viola_dataset\images\image_101.jpg,0,aluminium
viola_dataset\images\image_102.jpg,0,aluminium
viola_dataset\images\image_103.jpg,0,aluminium
viola_dataset\images\image_104.jpg,0,aluminium
viola_dataset\images\image_105.jpg,0,aluminium
viola_dataset\images\image_106.jpg,0,aluminium
viola_dataset\images\image_107.jpg,0,aluminium
viola_dataset\images\image_108.jpg,0,aluminium
viola_dataset\images\image_109.jpg,0,aluminium
viola_dataset\images\image_110.jpg,0,aluminium
viola_dataset\images\image_111.jpg,0,aluminium
viola_dataset\images\image_112.jpg,0,aluminium
viola_dataset\images\image_113.jpg,0,aluminium
viola_dataset\images\image_114.jpg,0,aluminium
viola_dataset\images\image_115.jpg,0,aluminium
viola_dataset\images\image_116.jpg,0,aluminium
viola_dataset\images\image_117.jpg,0,aluminium
viola_dataset\images\image_118.jpg,0,aluminium
viola_dataset\images\image_119.jpg,0,aluminium
viola_dataset\images\image_120.jpg,0,aluminium
viola_dataset\images\image_121.jpg,0,aluminium
viola_dataset\images\image_122.jpg,0,aluminium
viola_dataset\images\image_123.jpg,0,aluminium
viola_dataset\images\image_124.jpg,0,aluminium
viola_dataset\images\image_125.jpg,0,aluminium
viola_dataset\images\image_126.jpg,0,aluminium
viola_dataset\images\image_127.jpg,0,aluminium
viola_dataset\images\image_128.jpg,0,aluminium
viola_dataset\images\image_129.jpg,0,aluminium
viola_dataset\images\image_130.jpg,0,aluminium
viola_dataset\images\image_131.jpg,0,aluminium
viola_dataset\images\image_132.jpg,0,aluminium
viola_dataset\images\image_133.jpg,0,aluminium
viola_dataset\images\image_134.jpg,0,aluminium
viola_dataset\images\image_135.jpg,0,aluminium
viola_dataset\images\image_136.jpg,0,aluminium
viola_dataset\images\image_137.jpg,0,aluminium
viola_dataset\images\image_138.jpg,0,aluminium
viola_dataset\images\image_139.jpg,0,aluminium
viola_dataset\images\image_140.jpg,0,aluminium
viola_dataset\images\image_141.jpg,0,aluminium
viola_dataset\images\image_142.jpg,0,aluminium
viola_dataset\images\image_143.jpg,0,aluminium
viola_dataset\images\image_144.jpg,0,aluminium
viola_dataset\images\image_145.jpg,0,aluminium
viola_dataset\images\image_146.jpg,0,aluminium
viola_dataset\images\image_147.jpg,0,aluminium
viola_dataset\images\image_148.jpg,0,aluminium
viola_dataset\images\image_149.jpg,0,aluminium
viola_dataset\images\image_150.jpg,0,aluminium
viola_dataset\images\image_151.jpg,0,aluminium
viola_dataset\images\image_152.jpg,0,aluminium
viola_dataset\images\image_153.jpg,0,aluminium
viola_dataset\images\image_154.jpg,0,aluminium
viola_dataset\images\image_155.jpg,0,aluminium
viola_dataset\images\image_156.jpg,0,aluminium
viola_dataset\images\image_157.jpg,0,aluminium
viola_dataset\images\image_158.jpg,0,aluminium
viola_dataset\images\image_159.jpg,0,aluminium
viola_dataset\images\image_160.jpg,0,aluminium
viola_dataset\images\image_161.jpg,0,aluminium
viola_dataset\images\image_162.jpg,0,aluminium
viola_dataset\images\image_163.jpg,0,aluminium
viola_dataset\images\image_164.jpg,0,aluminium
viola_dataset\images\image_165.jpg,0,aluminium
viola_dataset\images\image_166.jpg,0,aluminium
viola_dataset\images\image_167.jpg,0,aluminium
viola_dataset\images\image_168.jpg,0,aluminium
viola_dataset\images\image_169.jpg,0,aluminium
viola_dataset\images\image_170.jpg,0,aluminium
viola_dataset\images\image_171.jpg,0,aluminium
viola_dataset\images\image_172.jpg,0,aluminium
viola_dataset\images\image_173.jpg,0,aluminium
viola_dataset\images\image_174.jpg,0,aluminium
viola_dataset\images\image_175.jpg,0,aluminium
viola_dataset\images\image_176.jpg,0,aluminium
viola_dataset\images\image_177.jpg,0,aluminium
viola_dataset\images\image_178.jpg,0,aluminium
viola_dataset\images\image_179.jpg,0,aluminium
viola_dataset\images\image_180.jpg,0,aluminium
viola_dataset\images\image_181.jpg,0,aluminium
viola_dataset\images\image_182.jpg,0,aluminium
viola_dataset\images\image_183.jpg,0,aluminium
viola_dataset\images\image_184.jpg,0,aluminium
viola_dataset\images\image_185.jpg,0,aluminium
viola_dataset\images\image_186.jpg,0,aluminium
viola_dataset\images\image_187.jpg,0,aluminium
viola_dataset\images\image_188.jpg,0,aluminium
viola_dataset\images\image_189.jpg,0,aluminium
viola_dataset\images\image_190.jpg,0,aluminium
viola_dataset\images\image_191.jpg,0,aluminium
viola_dataset\images\image_192.jpg,0,aluminium
viola_dataset\images\image_193.jpg,0,aluminium
viola_dataset\images\image_194.jpg,0,aluminium
viola_dataset\images\image_195.jpg,0,aluminium
viola_dataset\images\image_196.jpg,0,aluminium
viola_dataset\images\image_197.jpg,0,aluminium
viola_dataset\images\image_198.jpg,0,aluminium
viola_dataset\images\image_199.jpg,0,aluminium
viola_dataset\images\image_200.jpg,0,aluminium
viola_dataset\images\image_201.jpg,0,aluminium
viola_dataset\images\image_202.jpg,0,aluminium
viola_dataset\images\image_203.jpg,0,aluminium
viola_dataset\images\image_204.jpg,0,aluminium
viola_dataset\images\image_205.jpg,0,aluminium
viola_dataset\images\image_206.jpg,0,aluminium
viola_dataset\images\image_207.jpg,0,aluminium
viola_dataset\images\image_208.jpg,0,aluminium
viola_dataset\images\image_209.jpg,0,aluminium
viola_dataset\images\image_210.jpg,0,aluminium
viola_dataset\images\image_211.jpg,0,aluminium
viola_dataset\images\image_212.jpg,0,aluminium
viola_dataset\images\image_213.jpg,0,aluminium
viola_dataset\images\image_214.jpg,0,aluminium
viola_dataset\images\image_215.jpg,0,aluminium
viola_dataset\images\image_216.jpg,0,aluminium
viola_dataset\images\image_217.jpg,0,aluminium
viola_dataset\images\image_218.jpg,0,aluminium
viola_dataset\images\image_219.jpg,0,aluminium
viola_dataset\images\image_220.jpg,0,aluminium
viola_dataset\images\image_221.jpg,0,aluminium
viola_dataset\images\image_222.jpg,0,aluminium
viola_dataset\images\image_223.jpg,0,aluminium
viola_dataset\images\image_224.jpg,0,aluminium
viola_dataset\images\image_225.jpg,0,aluminium
viola_dataset\images\image_226.jpg,0,aluminium
viola_dataset\images\image_227.jpg,0,aluminium
viola_dataset\images\image_228.jpg,0,aluminium
viola_dataset\images\image_229.jpg,0,aluminium
viola_dataset\images\image_230.jpg,0,aluminium
viola_dataset\images\image_231.jpg,0,aluminium
viola_dataset\images\image_232.jpg,0,aluminium
viola_dataset\images\image_233.jpg,0,aluminium
viola_dataset\images\image_234.jpg,0,aluminium
viola_dataset\images\image_235.jpg,0,aluminium
viola_dataset\images\image_236.jpg,0,aluminium
viola_dataset\images\image_237.jpg,0,aluminium
viola_dataset\images\image_238.jpg,0,aluminium
viola_dataset\images\image_239.jpg,0,aluminium
viola_dataset\images\image_240.jpg,0,aluminium
viola_dataset\images\image_241.jpg,0,aluminium
viola_dataset\images\image_242.jpg,0,aluminium
viola_dataset\images\image_243.jpg,0,aluminium
viola_dataset\images\image_244.jpg,0,aluminium
viola_dataset\images\image_245.jpg,0,aluminium
viola_dataset\images\image_246.jpg,0,aluminium
viola_dataset\images\image_247.jpg,0,aluminium
viola_dataset\images\image_248.jpg,0,aluminium
viola_dataset\images\image_249.jpg,0,aluminium
viola_dataset\images\image_250.jpg,0,aluminium
viola_dataset\images\image_251.jpg,0,aluminium
viola_dataset\images\image_252.jpg,0,aluminium
viola_dataset\images\image_253.jpg,0,aluminium
viola_dataset\images\image_254.jpg,0,aluminium
viola_dataset\images\image_255.jpg,0,aluminium
viola_dataset\images\image_256.jpg,0,aluminium
viola_dataset\images\image_257.jpg,0,aluminium
viola_dataset\images\image_258.jpg,0,aluminium
viola_dataset\images\image_259.jpg,0,aluminium
viola_dataset\images\image_260.jpg,0,aluminium
viola_dataset\images\image_261.jpg,0,aluminium
viola_dataset\images\image_262.jpg,0,aluminium
viola_dataset\images\image_263.jpg,0,aluminium
viola_dataset\images\image_264.jpg,0,aluminium
viola_dataset\images\image_265.jpg,0,aluminium
viola_dataset\images\image_266.jpg,0,aluminium
viola_dataset\images\image_267.jpg,0,aluminium
viola_dataset\images\image_268.jpg,0,aluminium
viola_dataset\images\image_269.jpg,1,batteries
viola_dataset\images\image_270.jpg,1,batteries
viola_dataset\images\image_271.jpg,1,batteries
viola_dataset\images\image_272.jpg,1,batteries
viola_dataset\images\image_273.jpg,1,batteries
viola_dataset\images\image_274.jpg,1,batteries
viola_dataset\images\image_275.jpg,1,batteries
viola_dataset\images\image_276.jpg,1,batteries
viola_dataset\images\image_277.jpg,1,batteries
viola_dataset\images\image_278.jpg,1,batteries
viola_dataset\images\image_279.jpg,1,batteries
viola_dataset\images\image_280.jpg,1,batteries
viola_dataset\images\image_281.jpg,1,batteries
viola_dataset\images\image_282.jpg,1,batteries
viola_dataset\images\image_283.jpg,1,batteries
viola_dataset\images\image_284.jpg,1,batteries
viola_dataset\images\image_285.jpg,1,batteries
viola_dataset\images\image_286.jpg,1,batteries
viola_dataset\images\image_287.jpg,1,batteries
viola_dataset\images\image_288.jpg,1,batteries
viola_dataset\images\image_289.jpg,1,batteries
viola_dataset\images\image_290.jpg,1,batteries
viola_dataset\images\image_291.jpg,1,batteries
viola_dataset\images\image_292.jpg,1,batteries
viola_dataset\images\image_293.jpg,1,batteries
viola_dataset\images\image_294.jpg,1,batteries
viola_dataset\images\image_295.jpg,1,batteries
viola_dataset\images\image_296.jpg,1,batteries
viola_dataset\images\image_297.jpg,1,batteries
viola_dataset\images\image_298.jpg,1,batteries
viola_dataset\images\image_299.jpg,1,batteries
viola_dataset\images\image_300.jpg,1,batteries
viola_dataset\images\image_301.jpg,1,batteries
viola_dataset\images\image_302.jpg,1,batteries
viola_dataset\images\image_303.jpg,1,batteries
viola_dataset\images\image_304.jpg,1,batteries
viola_dataset\images\image_305.jpg,1,batteries
viola_dataset\images\image_306.jpg,1,batteries
viola_dataset\images\image_307.jpg,1,batteries
viola_dataset\images\image_308.jpg,1,batteries
viola_dataset\images\image_309.jpg,1,batteries
viola_dataset\images\image_310.jpg,1,batteries
viola_dataset\images\image_311.jpg,1,batteries
viola_dataset\images\image_312.jpg,1,batteries
viola_dataset\images\image_313.jpg,1,batteries
viola_dataset\images\image_314.jpg,1,batteries
viola_dataset\images\image_315.jpg,1,batteries
viola_dataset\images\image_316.jpg,1,batteries
viola_dataset\images\image_317.jpg,1,batteries
viola_dataset\images\image_318.jpg,1,batteries
viola_dataset\images\image_319.jpg,1,batteries
viola_dataset\images\image_320.jpg,1,batteries
viola_dataset\images\image_321.jpg,1,batteries
viola_dataset\images\image_322.jpg,1,batteries
viola_dataset\images\image_323.jpg,1,batteries
viola_dataset\images\image_324.jpg,1,batteries
viola_dataset\images\image_325.jpg,1,batteries
viola_dataset\images\image_326.jpg,1,batteries
viola_dataset\images\image_327.jpg,1,batteries
viola_dataset\images\image_328.jpg,1,batteries
viola_dataset\images\image_329.jpg,1,batteries
viola_dataset\images\image_330.jpg,1,batteries
viola_dataset\images\image_331.jpg,1,batteries
viola_dataset\images\image_332.jpg,1,batteries
viola_dataset\images\image_333.jpg,1,batteries
viola_dataset\images\image_334.jpg,1,batteries
viola_dataset\images\image_335.jpg,1,batteries
viola_dataset\images\image_336.jpg,1,batteries
viola_dataset\images\image_337.jpg,1,batteries
viola_dataset\images\image_338.jpg,1,batteries
viola_dataset\images\image_339.jpg,1,batteries
viola_dataset\images\image_340.jpg,1,batteries
viola_dataset\images\image_341.jpg,1,batteries
viola_dataset\images\image_342.jpg,1,batteries
viola_dataset\images\image_343.jpg,1,batteries
viola_dataset\images\image_344.jpg,1,batteries
viola_dataset\images\image_345.jpg,1,batteries
viola_dataset\images\image_346.jpg,1,batteries
viola_dataset\images\image_347.jpg,1,batteries
viola_dataset\images\image_348.jpg,1,batteries
viola_dataset\images\image_349.jpg,1,batteries
viola_dataset\images\image_350.jpg,1,batteries
viola_dataset\images\image_351.jpg,1,batteries
viola_dataset\images\image_352.jpg,1,batteries
viola_dataset\images\image_353.jpg,1,batteries
viola_dataset\images\image_354.jpg,1,batteries
viola_dataset\images\image_355.jpg,1,batteries
viola_dataset\images\image_356.jpg,1,batteries
viola_dataset\images\image_357.jpg,1,batteries
viola_dataset\images\image_358.jpg,1,batteries
viola_dataset\images\image_359.jpg,1,batteries
viola_dataset\images\image_360.jpg,1,batteries
viola_dataset\images\image_361.jpg,1,batteries
viola_dataset\images\image_362.jpg,1,batteries
viola_dataset\images\image_363.jpg,1,batteries
viola_dataset\images\image_364.jpg,1,batteries
viola_dataset\images\image_365.jpg,1,batteries
viola_dataset\images\image_366.jpg,1,batteries
viola_dataset\images\image_367.jpg,1,batteries
viola_dataset\images\image_368.jpg,1,batteries
viola_dataset\images\image_369.jpg,1,batteries
viola_dataset\images\image_370.jpg,1,batteries
viola_dataset\images\image_371.jpg,1,batteries
viola_dataset\images\image_372.jpg,1,batteries
viola_dataset\images\image_373.jpg,1,batteries
viola_dataset\images\image_374.jpg,1,batteries
viola_dataset\images\image_375.jpg,1,batteries
viola_dataset\images\image_376.jpg,1,batteries
viola_dataset\images\image_377.jpg,1,batteries
viola_dataset\images\image_378.jpg,1,batteries
viola_dataset\images\image_379.jpg,1,batteries
viola_dataset\images\image_380.jpg,1,batteries
viola_dataset\images\image_381.jpg,1,batteries
viola_dataset\images\image_382.jpg,1,batteries
viola_dataset\images\image_383.jpg,1,batteries
viola_dataset\images\image_384.jpg,1,batteries
viola_dataset\images\image_385.jpg,1,batteries
viola_dataset\images\image_386.jpg,1,batteries
viola_dataset\images\image_387.jpg,1,batteries
viola_dataset\images\image_388.jpg,1,batteries
viola_dataset\images\image_389.jpg,1,batteries
viola_dataset\images\image_390.jpg,1,batteries
viola_dataset\images\image_391.jpg,1,batteries
viola_dataset\images\image_392.jpg,1,batteries
viola_dataset\images\image_393.jpg,1,batteries
viola_dataset\images\image_394.jpg,1,batteries
viola_dataset\images\image_395.jpg,1,batteries
viola_dataset\images\image_396.jpg,1,batteries
viola_dataset\images\image_397.jpg,1,batteries
viola_dataset\images\image_398.jpg,1,batteries
viola_dataset\images\image_399.jpg,1,batteries
viola_dataset\images\image_400.jpg,1,batteries
viola_dataset\images\image_401.jpg,1,batteries
viola_dataset\images\image_402.jpg,1,batteries
viola_dataset\images\image_403.jpg,1,batteries
viola_dataset\images\image_404.jpg,1,batteries
viola_dataset\images\image_405.jpg,1,batteries
viola_dataset\images\image_406.jpg,1,batteries
viola_dataset\images\image_407.jpg,1,batteries
viola_dataset\images\image_408.jpg,1,batteries
viola_dataset\images\image_409.jpg,1,batteries
viola_dataset\images\image_410.jpg,1,batteries
viola_dataset\images\image_411.jpg,1,batteries
viola_dataset\images\image_412.jpg,1,batteries
viola_dataset\images\image_413.jpg,1,batteries
viola_dataset\images\image_414.jpg,1,batteries
viola_dataset\images\image_415.jpg,1,batteries
viola_dataset\images\image_416.jpg,1,batteries
viola_dataset\images\image_417.jpg,1,batteries
viola_dataset\images\image_418.jpg,1,batteries
viola_dataset\images\image_419.jpg,1,batteries
viola_dataset\images\image_420.jpg,1,batteries
viola_dataset\images\image_421.jpg,1,batteries
viola_dataset\images\image_422.jpg,1,batteries
viola_dataset\images\image_423.jpg,1,batteries
viola_dataset\images\image_424.jpg,1,batteries
viola_dataset\images\image_425.jpg,1,batteries
viola_dataset\images\image_426.jpg,1,batteries
viola_dataset\images\image_427.jpg,1,batteries
viola_dataset\images\image_428.jpg,1,batteries
viola_dataset\images\image_429.jpg,1,batteries
viola_dataset\images\image_430.jpg,1,batteries
viola_dataset\images\image_431.jpg,1,batteries
viola_dataset\images\image_432.jpg,1,batteries
viola_dataset\images\image_433.jpg,1,batteries
viola_dataset\images\image_434.jpg,1,batteries
viola_dataset\images\image_435.jpg,1,batteries
viola_dataset\images\image_436.jpg,1,batteries
viola_dataset\images\image_437.jpg,1,batteries
viola_dataset\images\image_438.jpg,1,batteries
viola_dataset\images\image_439.jpg,1,batteries
viola_dataset\images\image_440.jpg,1,batteries
viola_dataset\images\image_441.jpg,1,batteries
viola_dataset\images\image_442.jpg,1,batteries
viola_dataset\images\image_443.jpg,1,batteries
viola_dataset\images\image_444.jpg,1,batteries
viola_dataset\images\image_445.jpg,1,batteries
viola_dataset\images\image_446.jpg,1,batteries
viola_dataset\images\image_447.jpg,1,batteries
viola_dataset\images\image_448.jpg,1,batteries
viola_dataset\images\image_449.jpg,1,batteries
viola_dataset\images\image_450.jpg,1,batteries
viola_dataset\images\image_451.jpg,1,batteries
viola_dataset\images\image_452.jpg,1,batteries
viola_dataset\images\image_453.jpg,1,batteries
viola_dataset\images\image_454.jpg,1,batteries
viola_dataset\images\image_455.jpg,1,batteries
viola_dataset\images\image_456.jpg,1,batteries
viola_dataset\images\image_457.jpg,1,batteries
viola_dataset\images\image_458.jpg,1,batteries
viola_dataset\images\image_459.jpg,1,batteries
viola_dataset\images\image_460.jpg,1,batteries
viola_dataset\images\image_461.jpg,1,batteries
viola_dataset\images\image_462.jpg,1,batteries
viola_dataset\images\image_463.jpg,1,batteries
viola_dataset\images\image_464.jpg,1,batteries
viola_dataset\images\image_465.jpg,1,batteries
viola_dataset\images\image_466.jpg,1,batteries
viola_dataset\images\image_467.jpg,1,batteries
viola_dataset\images\image_468.jpg,1,batteries
viola_dataset\images\image_469.jpg,1,batteries
viola_dataset\images\image_470.jpg,1,batteries
viola_dataset\images\image_471.jpg,1,batteries
viola_dataset\images\image_472.jpg,1,batteries
viola_dataset\images\image_473.jpg,1,batteries
viola_dataset\images\image_474.jpg,1,batteries
viola_dataset\images\image_475.jpg,1,batteries
viola_dataset\images\image_476.jpg,1,batteries
viola_dataset\images\image_477.jpg,1,batteries
viola_dataset\images\image_478.jpg,1,batteries
viola_dataset\images\image_479.jpg,1,batteries
viola_dataset\images\image_480.jpg,1,batteries
viola_dataset\images\image_481.jpg,1,batteries
viola_dataset\images\image_482.jpg,1,batteries
viola_dataset\images\image_483.jpg,1,batteries
viola_dataset\images\image_484.jpg,1,batteries
viola_dataset\images\image_485.jpg,1,batteries
viola_dataset\images\image_486.jpg,1,batteries
viola_dataset\images\image_487.jpg,1,batteries
viola_dataset\images\image_488.jpg,1,batteries
viola_dataset\images\image_489.jpg,1,batteries
viola_dataset\images\image_490.jpg,1,batteries
viola_dataset\images\image_491.jpg,1,batteries
viola_dataset\images\image_492.jpg,1,batteries
viola_dataset\images\image_493.jpg,1,batteries
viola_dataset\images\image_494.jpg,1,batteries
viola_dataset\images\image_495.jpg,1,batteries
viola_dataset\images\image_496.jpg,1,batteries
viola_dataset\images\image_497.jpg,1,batteries
viola_dataset\images\image_498.jpg,1,batteries
viola_dataset\images\image_499.jpg,1,batteries
viola_dataset\images\image_500.jpg,1,batteries
viola_dataset\images\image_501.jpg,1,batteries
viola_dataset\images\image_502.jpg,1,batteries
viola_dataset\images\image_503.jpg,1,batteries
viola_dataset\images\image_504.jpg,1,batteries
viola_dataset\images\image_505.jpg,1,batteries
viola_dataset\images\image_506.jpg,1,batteries
viola_dataset\images\image_507.jpg,1,batteries
viola_dataset\images\image_508.jpg,1,batteries
viola_dataset\images\image_509.jpg,1,batteries
viola_dataset\images\image_510.jpg,1,batteries
viola_dataset\images\image_511.jpg,1,batteries
viola_dataset\images\image_512.jpg,1,batteries
viola_dataset\images\image_513.jpg,1,batteries
viola_dataset\images\image_514.jpg,1,batteries
viola_dataset\images\image_515.jpg,1,batteries
viola_dataset\images\image_516.jpg,1,batteries
viola_dataset\images\image_517.jpg,1,batteries
viola_dataset\images\image_518.jpg,1,batteries
viola_dataset\images\image_519.jpg,1,batteries
viola_dataset\images\image_520.jpg,1,batteries
viola_dataset\images\image_521.jpg,1,batteries
viola_dataset\images\image_522.jpg,1,batteries
viola_dataset\images\image_523.jpg,1,batteries
viola_dataset\images\image_524.jpg,1,batteries
viola_dataset\images\image_525.jpg,1,batteries
viola_dataset\images\image_526.jpg,1,batteries
viola_dataset\images\image_527.jpg,1,batteries
viola_dataset\images\image_528.jpg,1,batteries
viola_dataset\images\image_529.jpg,1,batteries
viola_dataset\images\image_530.jpg,1,batteries
viola_dataset\images\image_531.jpg,1,batteries
viola_dataset\images\image_532.jpg,1,batteries
viola_dataset\images\image_533.jpg,1,batteries
viola_dataset\images\image_534.jpg,1,batteries
viola_dataset\images\image_535.jpg,1,batteries
viola_dataset\images\image_536.jpg,1,batteries
viola_dataset\images\image_537.jpg,1,batteries
viola_dataset\images\image_538.jpg,1,batteries
viola_dataset\images\image_539.jpg,1,batteries
viola_dataset\images\image_540.jpg,1,batteries
viola_dataset\images\image_541.jpg,1,batteries
viola_dataset\images\image_542.jpg,1,batteries
viola_dataset\images\image_543.jpg,1,batteries
viola_dataset\images\image_544.jpg,1,batteries
viola_dataset\images\image_545.jpg,1,batteries
viola_dataset\images\image_546.jpg,1,batteries
viola_dataset\images\image_547.jpg,1,batteries
viola_dataset\images\image_548.jpg,1,batteries
viola_dataset\images\image_549.jpg,1,batteries
viola_dataset\images\image_550.jpg,1,batteries
viola_dataset\images\image_551.jpg,1,batteries
viola_dataset\images\image_552.jpg,1,batteries
viola_dataset\images\image_553.jpg,1,batteries
viola_dataset\images\image_554.jpg,1,batteries
viola_dataset\images\image_555.jpg,1,batteries
viola_dataset\images\image_556.jpg,1,batteries
viola_dataset\images\image_557.jpg,1,batteries
viola_dataset\images\image_558.jpg,1,batteries
viola_dataset\images\image_559.jpg,1,batteries
viola_dataset\images\image_560.jpg,1,batteries
viola_dataset\images\image_561.jpg,1,batteries
viola_dataset\images\image_562.jpg,1,batteries
viola_dataset\images\image_563.jpg,1,batteries
viola_dataset\images\image_564.jpg,1,batteries
viola_dataset\images\image_565.jpg,1,batteries
viola_dataset\images\image_566.jpg,2,cardboard
viola_dataset\images\image_567.jpg,2,cardboard
viola_dataset\images\image_568.jpg,2,cardboard
viola_dataset\images\image_569.jpg,2,cardboard
viola_dataset\images\image_570.jpg,2,cardboard
viola_dataset\images\image_571.jpg,2,cardboard
viola_dataset\images\image_572.jpg,2,cardboard
viola_dataset\images\image_573.jpg,2,cardboard
viola_dataset\images\image_574.jpg,2,cardboard
viola_dataset\images\image_575.jpg,2,cardboard
viola_dataset\images\image_576.jpg,2,cardboard
viola_dataset\images\image_577.jpg,2,cardboard
viola_dataset\images\image_578.jpg,2,cardboard
viola_dataset\images\image_579.jpg,2,cardboard
viola_dataset\images\image_580.jpg,2,cardboard
viola_dataset\images\image_581.jpg,2,cardboard
viola_dataset\images\image_582.jpg,2,cardboard
viola_dataset\images\image_583.jpg,2,cardboard
viola_dataset\images\image_584.jpg,2,cardboard
viola_dataset\images\image_585.jpg,2,cardboard
viola_dataset\images\image_586.jpg,2,cardboard
viola_dataset\images\image_587.jpg,2,cardboard
viola_dataset\images\image_588.jpg,2,cardboard
viola_dataset\images\image_589.jpg,2,cardboard
viola_dataset\images\image_590.jpg,2,cardboard
viola_dataset\images\image_591.jpg,2,cardboard
viola_dataset\images\image_592.jpg,2,cardboard
viola_dataset\images\image_593.jpg,2,cardboard
